	Inflected_Word	Lemma
0	অংকন	অংক
1	অংকনকে	অংক
2	অংকনসামগ্রী	অংক
3	অংকনের	অংক
4	অংকিত	অংক
5	অংকিতা	অংক
6	অংকের	অংক
7	অংশ	অংশ
8	অংশই	অংশ
9	অংশকে	অংশ
10	অংশকেই	অংশ
11	অংশকেও	অংশ
12	অংশগহণ	অংশগ্রহণ
13	অংশগুলো	অংশ
14	অংশগুলোকে	অংশ
15	অংশগুলোর	অংশ
16	অংশগুলোয়	অংশ
17	অংশগুুলোতে	অংশ
18	অংশগ্রহণ	অংশ
19	অংশগ্রহণই	অংশ
20	অংশগ্রহণও	অংশ
21	অংশগ্রহণকারি	অংশ
22	অংশগ্রহণকারী	অংশ
23	অংশগ্রহণকারীই	অংশ
24	অংশগ্রহণকারীও	অংশ
25	অংশগ্রহণকারীকে	অংশ
26	অংশগ্রহণকারীদের	অংশ
27	অংশগ্রহণকারীর	অংশ
28	অংশগ্রহণকারীরা	অংশ
29	অংশগ্রহণকারীরাও	অংশ
30	অংশগ্রহণকারীসহ	অংশ
31	অংশগ্রহণকালে	অংশ
32	অংশগ্রহণকে	অংশ
33	অংশগ্রহণছাড়া	অংশ
34	অংশগ্রহণতো	অংশ
35	অংশগ্রহণভিত্তিক	অংশ
36	অংশগ্রহণমূলক	অংশ
37	অংশগ্রহণরত	অংশ
38	অংশগ্রহণসহ	অংশ
39	অংশগ্রহণে	অংশ
40	অংশগ্রহণেই	অংশ
41	অংশগ্রহণেচ্ছু	অংশ
42	অংশগ্রহণের	অংশ
43	অংশগ্রহন	অংশ
44	অংশগ্রহনের	অংশ
45	অংশজুড়ে	অংশ
46	অংশজুড়েই	অংশ
47	অংশটা	অংশ
48	অংশটাই	অংশ
49	অংশটাও	অংশ
50	অংশটাকে	অংশ
51	অংশটাতে	অংশ
52	অংশটাতেই	অংশ
53	অংশটার	অংশ
54	অংশটায়	অংশ
55	অংশটি	অংশ
56	অংশটিই	অংশ
57	অংশটিও	অংশ
58	অংশটিকে	অংশ
59	অংশটিতে	অংশ
60	অংশটির	অংশ
61	অংশটুকু	অংশ
62	অংশটুকুই	অংশ
63	অংশটুকুও	অংশ
64	অংশটুকুতে	অংশ
65	অংশটুকুতেও	অংশ
66	অংশটুকুর	অংশ
67	অংশটুকুরই	অংশ
68	অংশবিশেষও	অংশ
69	অংশবিশেষকে	অংশ
70	অংশবিশেষজুড়ে	অংশ
71	অংশবিশেষে	অংশ
72	অংশবিশেষেই	অংশ
73	অংশবিশেষের	অংশ
